,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
0,Abbeville,SC,0.629,0.346,10724.0,6742.0,3712.0,0.661,0.33,12433.0,8215.0,4101.0,34.22333378,-82.46170658,805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,19452.0,35254.0,2259.0,19234.0,799.0,22.7,32.1,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505.0,78.8,13.3,7.8,0.1,9.4
1,Acadia,LA,0.773,0.206,27386.0,21159.0,5638.0,0.795,0.191,28425.0,22596.0,5443.0,30.295064899999996,-92.41419698,3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,45197.0,40492.0,2544.0,21591.0,1002.0,21.5,27.6,27.6,16.9,25.7,15.0,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982.0,80.0,12.1,7.6,0.3,8.9
2,Accomack,VA,0.545,0.428,15755.0,8582.0,6737.0,0.542,0.447,16938.0,9172.0,7578.0,37.76707161,-75.63234615,1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,24408.0,42260.0,2253.0,24266.0,1564.0,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80.0,10.6,0.5,2.6,1.8,4.5,22.0,13837.0,74.6,18.1,7.1,0.2,5.4
3,Ada,ID,0.479,0.387,195587.0,93748.0,75676.0,0.504,0.465,259389.0,130699.0,120539.0,43.4526575,-116.24155159999998,17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,316189.0,60151.0,1294.0,31642.0,725.0,11.8,13.1,43.0,16.6,25.0,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984.0,78.3,15.0,6.6,0.1,4.3
4,Adair,IA,0.653,0.3,3759.0,2456.0,1127.0,0.697,0.286,4183.0,2917.0,1197.0,41.33075609,-94.47105874,222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,5572.0,49477.0,2633.0,28861.0,2055.0,9.5,12.1,28.2,16.9,20.0,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680.0,73.8,15.3,10.4,0.5,3.0
5,Adair,KY,0.806,0.161,8231.0,6637.0,1323.0,0.83,0.159,8766.0,7275.0,1391.0,37.10459774,-85.28129668,517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,15280.0,36575.0,3426.0,18408.0,1010.0,21.5,27.1,28.5,15.9,19.7,12.2,23.8,84.5,9.0,0.0,2.6,0.5,3.4,22.2,7988.0,74.1,15.8,9.9,0.1,6.2
6,Adair,MO,0.594,0.345,10137.0,6019.0,3495.0,0.618,0.358,10337.0,6391.0,3705.0,40.19058551,-92.60078167,578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,20169.0,38750.0,2130.0,21778.0,1702.0,26.2,20.7,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4.0,2.6,4.0,17.1,11274.0,73.6,20.9,5.3,0.2,5.5
7,Adair,OK,0.735,0.212,6468.0,4753.0,1374.0,0.786,0.195,7108.0,5585.0,1387.0,35.88494195,-94.65859267,855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,16050.0,33366.0,1560.0,16576.0,820.0,30.8,43.0,23.9,17.6,19.4,14.0,25.2,84.4,8.5,0.1,2.8,1.0,3.2,23.1,8130.0,71.6,20.4,7.5,0.5,5.5
8,Adams,CO,0.421,0.494,175125.0,73807.0,86471.0,0.404,0.567,234599.0,94874.0,132951.0,39.87432092,-104.3362578,15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,306416.0,64087.0,991.0,27487.0,366.0,12.2,16.4,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5.0,29.2,246450.0,83.6,11.2,5.1,0.1,5.1
9,Adams,IA,0.669,0.271,2082.0,1393.0,565.0,0.708,0.273,2158.0,1528.0,590.0,41.02903567,-94.69932645,87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,2992.0,49745.0,3996.0,27022.0,1948.0,11.2,8.6,37.4,14.3,17.0,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796.0,72.0,12.1,15.5,0.3,4.2
10,Adams,ID,0.713,0.19,2183.0,1556.0,415.0,0.751,0.229,2586.0,1941.0,591.0,44.89333571,-116.4545247,65.0,2.0,3946.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,3229.0,42727.0,4646.0,24315.0,2275.0,13.8,20.9,33.1,19.4,21.2,13.9,12.5,69.0,13.1,0.8,4.4,1.8,10.9,24.1,1539.0,65.4,22.0,12.5,0.0,8.7
11,Adams,IL,0.716,0.24,31770.0,22732.0,7633.0,0.722,0.256,33434.0,24131.0,8569.0,39.98815591,-91.18786813,2223.0,25.0,66787.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,51303.0,48454.0,1689.0,27256.0,873.0,13.1,17.5,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17.0,32243.0,83.1,10.6,6.1,0.1,5.5
12,Adams,IN,0.739,0.215,13039.0,9642.0,2802.0,0.75,0.227,14238.0,10685.0,3236.0,40.7457653,-84.93671406,704.0,8.0,35018.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,23929.0,48290.0,2581.0,21534.0,1130.0,18.9,29.8,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0.0,2.6,1.9,4.5,22.8,14954.0,83.1,8.2,8.1,0.6,5.2
13,Adams,MS,0.42,0.567,12214.0,5125.0,6921.0,0.426,0.564,12268.0,5222.0,6914.0,31.47669768,-91.35326037,1122.0,45.0,31583.0,15680.0,15903.0,8.4,36.9,52.8,0.2,0.6,0.0,22394.0,30359.0,1438.0,17721.0,1289.0,34.2,56.9,30.5,20.6,23.6,13.0,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190.0,75.2,18.2,6.4,0.1,10.9
14,Adams,ND,0.75,0.179,1206.0,904.0,216.0,0.773,0.203,1269.0,981.0,258.0,46.09686891,-102.5285397,91.0,0.0,2368.0,1168.0,1200.0,0.5,93.0,1.6,1.1,2.6,0.0,1862.0,54700.0,10365.0,35933.0,4260.0,9.2,8.8,44.6,10.7,15.0,17.5,12.2,73.9,9.4,0.6,6.0,2.9,7.3,17.3,1275.0,73.7,10.6,15.2,0.5,1.6
15,Adams,NE,0.699,0.248,13172.0,9205.0,3272.0,0.691,0.289,14602.0,10085.0,4213.0,40.52449420000001,-98.50117804,922.0,15.0,31564.0,15981.0,15583.0,9.4,86.9,0.6,0.1,1.3,0.0,23151.0,51721.0,2585.0,28085.0,1682.0,12.4,18.0,33.4,19.4,20.4,10.1,16.7,83.0,9.3,0.7,1.8,1.3,3.9,15.3,15890.0,78.0,15.1,6.7,0.1,4.2
16,Adams,OH,0.763,0.207,11063.0,8445.0,2293.0,0.811,0.179,11905.0,9660.0,2130.0,38.84541072,-83.4718964,270.0,6.0,27926.0,13960.0,13966.0,1.0,96.6,0.4,0.6,0.2,0.0,21041.0,36320.0,2651.0,20248.0,1164.0,23.8,32.0,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124.0,79.1,13.0,7.7,0.2,7.5
